Evaluation metrics using ,XGBRegressor
Accuracy ,0.9497041420118343
Sensitivity ,0.9
Specitivity ,0.9807692307692307
Recall,0.9669421487603306
Estimator parameters: 
objective,binary:hinge
base_score,0.5
booster,gbtree
colsample_bylevel,1
colsample_bynode,1
colsample_bytree,1
gamma,0.1
gpu_id,-1
importance_type,gain
interaction_constraints,
learning_rate,0.8
max_delta_step,0
max_depth,10
min_child_weight,1
missing,nan
monotone_constraints,()
n_estimators,100
n_jobs,0
num_parallel_tree,1
random_state,0
reg_alpha,0.1
reg_lambda,1
scale_pos_weight,1
subsample,1
tree_method,hist
validate_parameters,1
verbosity,
eta,0.4
eval_metric,mae
grow_policy,depthwise
Evaluation metrics using ,XGBRegressor
Accuracy ,0.9467455621301775
Sensitivity ,0.8992248062015504
Specitivity ,0.9760765550239234
Recall,0.9586776859504132
Estimator parameters: 
objective,binary:hinge
base_score,0.5
booster,gbtree
colsample_bylevel,1
colsample_bynode,1
colsample_bytree,1
gamma,0
gpu_id,-1
importance_type,gain
interaction_constraints,
learning_rate,0.8
max_delta_step,0
max_depth,6
min_child_weight,1
missing,nan
monotone_constraints,()
n_estimators,100
n_jobs,0
num_parallel_tree,1
random_state,0
reg_alpha,0
reg_lambda,1
scale_pos_weight,
subsample,1
tree_method,auto
validate_parameters,1
verbosity,
eta,0.01
eval_metric,mae
Evaluation metrics using ,XGBRegressor
Accuracy ,0.9467455621301775
Sensitivity ,0.8992248062015504
Specitivity ,0.9760765550239234
Recall,0.9586776859504132
Estimator parameters: 
objective,binary:hinge
base_score,0.5
booster,gbtree
colsample_bylevel,1
colsample_bynode,1
colsample_bytree,1
gamma,0
gpu_id,-1
importance_type,gain
interaction_constraints,
learning_rate,0.8
max_delta_step,0
max_depth,6
min_child_weight,1
missing,nan
monotone_constraints,()
n_estimators,100
n_jobs,0
num_parallel_tree,1
random_state,0
reg_alpha,0
reg_lambda,1
scale_pos_weight,
subsample,1
tree_method,auto
validate_parameters,1
verbosity,
eta,0.01
eval_metric,rmse
Evaluation metrics using ,XGBRegressor
Accuracy ,0.9467455621301775
Sensitivity ,0.8992248062015504
Specitivity ,0.9760765550239234
Recall,0.9586776859504132
Estimator parameters: 
objective,binary:hinge
base_score,0.5
booster,gbtree
colsample_bylevel,1
colsample_bynode,1
colsample_bytree,1
gamma,0
gpu_id,-1
importance_type,gain
interaction_constraints,
learning_rate,0.8
max_delta_step,0
max_depth,6
min_child_weight,1
missing,nan
monotone_constraints,()
n_estimators,100
n_jobs,0
num_parallel_tree,1
random_state,0
reg_alpha,0
reg_lambda,1
scale_pos_weight,
subsample,1
tree_method,auto
validate_parameters,1
verbosity,
eta,0.01
eval_metric,error
Evaluation metrics using ,XGBRegressor
Accuracy ,0.9467455621301775
Sensitivity ,0.8992248062015504
Specitivity ,0.9760765550239234
Recall,0.9586776859504132
Estimator parameters: 
objective,binary:hinge
base_score,0.5
booster,gbtree
colsample_bylevel,1
colsample_bynode,1
colsample_bytree,1
gamma,0
gpu_id,-1
importance_type,gain
interaction_constraints,
learning_rate,0.8
max_delta_step,0
max_depth,6
min_child_weight,1
missing,nan
monotone_constraints,()
n_estimators,100
n_jobs,0
num_parallel_tree,1
random_state,0
reg_alpha,0
reg_lambda,1
scale_pos_weight,
subsample,1
tree_method,auto
validate_parameters,1
verbosity,
eta,0.01
eval_metric,mlogloss
Evaluation metrics using ,XGBRegressor
Accuracy ,0.9467455621301775
Sensitivity ,0.8992248062015504
Specitivity ,0.9760765550239234
Recall,0.9586776859504132
Estimator parameters: 
objective,binary:hinge
base_score,0.5
booster,gbtree
colsample_bylevel,1
colsample_bynode,1
colsample_bytree,1
gamma,0
gpu_id,-1
importance_type,gain
interaction_constraints,
learning_rate,0.8
max_delta_step,0
max_depth,6
min_child_weight,1
missing,nan
monotone_constraints,()
n_estimators,100
n_jobs,0
num_parallel_tree,1
random_state,0
reg_alpha,0
reg_lambda,1
scale_pos_weight,
subsample,1
tree_method,auto
validate_parameters,1
verbosity,
eta,0.01
eval_metric,mlogloss
Evaluation metrics using ,XGBRegressor
Accuracy ,0.9467455621301775
Sensitivity ,0.8992248062015504
Specitivity ,0.9760765550239234
Recall,0.9586776859504132
Estimator parameters: 
objective,binary:hinge
base_score,0.5
booster,gbtree
colsample_bylevel,1
colsample_bynode,1
colsample_bytree,1
gamma,0
gpu_id,-1
importance_type,gain
interaction_constraints,
learning_rate,0.8
max_delta_step,0
max_depth,6
min_child_weight,1
missing,nan
monotone_constraints,()
n_estimators,100
n_jobs,0
num_parallel_tree,1
random_state,0
reg_alpha,0
reg_lambda,1
scale_pos_weight,
subsample,1
tree_method,auto
validate_parameters,1
verbosity,
eta,0.1
eval_metric,mae
Evaluation metrics using ,XGBRegressor
Accuracy ,0.9467455621301775
Sensitivity ,0.8992248062015504
Specitivity ,0.9760765550239234
